,naics,countOsm,countStatcan,osmCompleteness,population density,median income,ale_index,% non-immigrants,% not a visible minority,% postsecondary
89,8111,1,0,inf,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
90,44511,1,0,inf,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
91,44512,1,0,inf,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
92,44521,1,1,1.0,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
93,44523,1,0,inf,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
94,44611,1,1,1.0,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
95,44711,1,0,inf,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
96,45391,1,1,1.0,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
97,52421,1,1,1.0,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
98,54111,2,2,1.0,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
99,81293,22,0,inf,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
100,445291,1,0,inf,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
101,452110,1,0,inf,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
102,541212,2,1,2.0,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
103,722511,6,6,1.0,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
104,722512,9,4,2.25,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
105,812114,2,0,inf,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
106,812115,1,1,1.0,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
107,8131,1,0,inf,2958.9,38784.0,1.1013554,0.5394190871369294,0.7883817427385892,0.46680497925311204
108,81293,1,0,inf,2958.9,38784.0,1.1013554,0.5394190871369294,0.7883817427385892,0.46680497925311204
