cma,naics,countOsm,countStatcan,osmCompleteness,error
535,812115,1048,1765,0.5937677053824363,0.4062322946175637
535,6212,936,3352,0.27923627684964203,0.720763723150358
535,337121,11,65,0.16923076923076924,0.8307692307692308
535,71392,2,5,0.4,0.6
535,8133,57,193,0.29533678756476683,0.7046632124352331
535,5613,77,1287,0.05982905982905983,0.9401709401709402
535,62142,1,65,0.015384615384615385,0.9846153846153847
535,722512,4073,5598,0.7275812790282243,0.2724187209717756
535,51511,1,75,0.013333333333333334,0.9866666666666667
535,32711,5,6,0.8333333333333334,0.16666666666666666
535,44512,1708,1028,1.66147859922179,0.6614785992217899
535,5221,1395,740,1.885135135135135,0.8851351351351351
535,11115,4,16,0.25,0.75
535,45321,91,114,0.7982456140350878,0.20175438596491227
535,4453,431,341,1.2639296187683284,0.26392961876832843
535,51224,1,52,0.019230769230769232,0.9807692307692307
535,23832,2,713,0.002805049088359046,0.9971949509116409
535,321991,7,1,7.0,6.0
535,45299,6,825,0.007272727272727273,0.9927272727272727
535,71395,7,24,0.2916666666666667,0.7083333333333334
535,53131,5,1403,0.003563791874554526,0.9964362081254454
535,491,227,54,4.203703703703703,3.2037037037037037
535,561611,1,76,0.013157894736842105,0.9868421052631579
535,1113,14,13,1.0769230769230769,0.07692307692307693
535,44522,14,37,0.3783783783783784,0.6216216216216216
535,33991,3,83,0.03614457831325301,0.963855421686747
535,23833,4,417,0.009592326139088728,0.9904076738609112
535,62134,143,624,0.22916666666666666,0.7708333333333334
535,44314,495,1415,0.3498233215547703,0.6501766784452296
535,236,1,5332,0.00018754688672168043,0.9998124531132783
535,6112,109,96,1.1354166666666667,0.13541666666666666
535,72111,481,315,1.5269841269841269,0.526984126984127
535,8131,2871,1714,1.675029171528588,0.6750291715285881
535,112,1270,175,7.257142857142857,6.257142857142857
535,8111,1186,3490,0.33982808022922634,0.6601719197707736
535,54181,9,756,0.011904761904761904,0.9880952380952381
535,45114,29,67,0.43283582089552236,0.5671641791044776
535,493,105,464,0.22629310344827586,0.7737068965517241
535,451310,159,144,1.1041666666666667,0.10416666666666667
535,7224,697,290,2.4034482758620688,1.403448275862069
535,452110,573,70,8.185714285714285,7.185714285714286
535,62132,38,401,0.09476309226932668,0.9052369077306733
535,11291,1,2,0.5,0.5
535,23821,3,2006,0.0014955134596211367,0.9985044865403788
535,71391,375,133,2.819548872180451,1.8195488721804511
535,8132,7,488,0.014344262295081968,0.985655737704918
535,6231,36,204,0.17647058823529413,0.8235294117647058
535,4482,369,484,0.762396694214876,0.23760330578512398
535,6244,137,1086,0.1261510128913444,0.8738489871086557
535,4481,1849,2268,0.8152557319223986,0.18474426807760141
535,1141,1,2,0.5,0.5
535,8134,57,531,0.10734463276836158,0.8926553672316384
535,113,476,29,16.413793103448278,15.413793103448276
535,23814,5,435,0.011494252873563218,0.9885057471264368
535,3162,11,14,0.7857142857142857,0.21428571428571427
535,61161,47,280,0.16785714285714284,0.8321428571428572
535,54131,17,635,0.026771653543307086,0.9732283464566929
535,45111,323,312,1.0352564102564104,0.035256410256410256
535,561622,5,87,0.05747126436781609,0.9425287356321839
535,81392,57,308,0.18506493506493507,0.814935064935065
535,51111,8,128,0.0625,0.9375
535,45112,284,184,1.5434782608695652,0.5434782608695652
535,8123,679,631,1.076069730586371,0.07606973058637084
535,541213,65,265,0.24528301886792453,0.7547169811320755
535,71213,29,4,7.25,6.25
535,447,1046,704,1.4857954545454546,0.48579545454545453
535,721198,41,11,3.727272727272727,2.727272727272727
535,31134,3,27,0.1111111111111111,0.8888888888888888
535,623310,61,245,0.24897959183673468,0.7510204081632653
535,44412,87,88,0.9886363636363636,0.011363636363636364
535,23835,1,1032,0.0009689922480620155,0.999031007751938
535,4533,161,155,1.038709677419355,0.03870967741935484
535,45113,8,76,0.10526315789473684,0.8947368421052632
535,622,112,100,1.12,0.12
535,56292,17,23,0.7391304347826086,0.2608695652173913
535,541514,25,11952,0.0020917001338688086,0.9979082998661312
535,721310,15,28,0.5357142857142857,0.4642857142857143
535,212,88,52,1.6923076923076923,0.6923076923076923
535,23822,19,2142,0.008870214752567693,0.9911297852474323
535,332321,7,97,0.07216494845360824,0.9278350515463918
535,81291,12,167,0.0718562874251497,0.9281437125748503
535,53223,37,41,0.9024390243902439,0.0975609756097561
535,71393,50,23,2.1739130434782608,1.173913043478261
535,44831,352,542,0.6494464944649446,0.3505535055350554
535,81292,1,28,0.03571428571428571,0.9642857142857143
535,721211,76,21,3.619047619047619,2.619047619047619
535,811192,445,192,2.3177083333333335,1.3177083333333333
535,45322,209,288,0.7256944444444444,0.2743055555555556
535,44613,409,496,0.8245967741935484,0.17540322580645162
535,442291,28,81,0.345679012345679,0.654320987654321
535,5312,212,1582,0.13400758533501897,0.865992414664981
535,44611,1008,1796,0.5612472160356348,0.43875278396436523
535,4411,785,795,0.9874213836477987,0.012578616352201259
535,6215,10,527,0.018975332068311195,0.9810246679316889
535,44422,94,126,0.746031746031746,0.25396825396825395
535,44812,104,757,0.13738441215323646,0.8626155878467635
535,541212,71,1999,0.03551775887943972,0.9644822411205602
535,72232,19,436,0.04357798165137615,0.9564220183486238
535,45392,106,79,1.3417721518987342,0.34177215189873417
535,52421,128,1422,0.090014064697609,0.909985935302391
535,54194,226,498,0.4538152610441767,0.5461847389558233
535,71311,39,15,2.6,1.6
535,6113,42,22,1.9090909090909092,0.9090909090909091
535,54111,205,3582,0.057230597431602456,0.9427694025683976
535,1114,4,70,0.05714285714285714,0.9428571428571428
535,44612,149,359,0.415041782729805,0.584958217270195
535,44131,70,289,0.2422145328719723,0.7577854671280276
535,62421,10,48,0.20833333333333334,0.7916666666666666
535,23816,7,574,0.012195121951219513,0.9878048780487805
535,31214,1,2,0.5,0.5
535,812114,1243,158,7.867088607594937,6.867088607594937
535,44419,20,310,0.06451612903225806,0.9354838709677419
535,532111,140,270,0.5185185185185185,0.48148148148148145
535,44132,13,150,0.08666666666666667,0.9133333333333333
535,23815,21,169,0.1242603550295858,0.8757396449704142
535,44811,28,203,0.13793103448275862,0.8620689655172413
535,71394,264,546,0.4835164835164835,0.5164835164835165
535,721191,20,17,1.1764705882352942,0.17647058823529413
535,71211,107,39,2.7435897435897436,1.7435897435897436
535,81293,56612,55,1029.3090909090909,1028.3090909090909
535,532112,785,45,17.444444444444443,16.444444444444443
535,72112,481,0,inf,inf
535,44813,37,139,0.26618705035971224,0.7338129496402878
535,44221,72,194,0.3711340206185567,0.6288659793814433
535,81221,54,73,0.7397260273972602,0.2602739726027397
535,111,3810,288,13.229166666666666,12.229166666666666
535,441220,25,63,0.3968253968253968,0.6031746031746031
535,53222,8,23,0.34782608695652173,0.6521739130434783
535,722511,4235,5451,0.7769216657494038,0.22307833425059623
535,5323,6,28,0.21428571428571427,0.7857142857142857
535,44832,45,66,0.6818181818181818,0.3181818181818182
535,44521,152,262,0.5801526717557252,0.4198473282442748
535,445292,90,63,1.4285714285714286,0.42857142857142855
535,561621,2,268,0.007462686567164179,0.9925373134328358
535,71312,9,47,0.19148936170212766,0.8085106382978723
535,21232,2,20,0.1,0.9
535,62131,43,474,0.09071729957805907,0.9092827004219409
535,51213,80,69,1.1594202898550725,0.15942028985507245
535,61163,5,100,0.05,0.95
535,2211,157,94,1.6702127659574468,0.6702127659574468
535,4531,216,250,0.864,0.136
535,48421,2,225,0.008888888888888889,0.9911111111111112
535,53113,33,77,0.42857142857142855,0.5714285714285714
535,522291,223,83,2.6867469879518073,1.6867469879518073
535,71321,5,3,1.6666666666666667,0.6666666666666666
535,71212,168,4,42.0,41.0
535,56151,206,704,0.29261363636363635,0.7073863636363636
535,54192,24,315,0.0761904761904762,0.9238095238095239
535,45391,259,217,1.1935483870967742,0.1935483870967742
535,4421,423,548,0.7718978102189781,0.2281021897810219
535,44411,204,107,1.9065420560747663,0.9065420560747663
535,51211,2,1155,0.0017316017316017316,0.9982683982683983
535,81394,10,15,0.6666666666666666,0.3333333333333333
535,445291,327,213,1.5352112676056338,0.5352112676056338
535,22132,43,1,43.0,42.0
535,44413,91,102,0.8921568627450981,0.10784313725490197
535,44511,973,955,1.018848167539267,0.018848167539267015
535,6111,4132,374,11.04812834224599,10.04812834224599
535,31212,13,45,0.28888888888888886,0.7111111111111111
535,332,1,1442,0.0006934812760055479,0.9993065187239945
535,6243,17,154,0.11038961038961038,0.8896103896103896
535,31213,4,34,0.11764705882352941,0.8823529411764706
535,44523,113,85,1.3294117647058823,0.32941176470588235
535,517,5,329,0.015197568389057751,0.9848024316109423
535,446191,86,330,0.2606060606060606,0.7393939393939394
535,51912,298,130,2.292307692307692,1.2923076923076924
535,62133,4,224,0.017857142857142856,0.9821428571428571
535,44711,1708,411,4.155717761557177,3.1557177615571774
535,6211,440,7591,0.05796337768409959,0.9420366223159005
